Bank,Year,Month,Media Category,dollars
TD Bank,2023,April 2023,Digital,928515
TD Bank,2023,April 2023,Outdoor,365311
TD Bank,2023,April 2023,Print,6483
TD Bank,2023,April 2023,Television,2158634
TD Bank,2023,August 2023,Digital,779204
TD Bank,2023,August 2023,Outdoor,81434
TD Bank,2023,August 2023,Television,172542
TD Bank,2023,December 2023,Audio,1207
TD Bank,2023,December 2023,Digital,1839620
TD Bank,2023,December 2023,Outdoor,5093
TD Bank,2023,December 2023,Television,201433
TD Bank,2023,February 2023,Audio,1030
TD Bank,2023,February 2023,Digital,752784
TD Bank,2023,February 2023,Print,1379
TD Bank,2023,February 2023,Television,151708
TD Bank,2023,July 2023,Digital,1285699
TD Bank,2023,July 2023,Outdoor,183691
TD Bank,2023,July 2023,Television,665544
TD Bank,2023,June 2023,Digital,846445
TD Bank,2023,June 2023,Outdoor,50039
TD Bank,2023,June 2023,Print,5429
TD Bank,2023,June 2023,Television,1359591
TD Bank,2023,March 2023,Audio,351
TD Bank,2023,March 2023,Digital,499830
TD Bank,2023,March 2023,Outdoor,623121
TD Bank,2023,March 2023,Television,303793
TD Bank,2023,May 2023,Digital,1040097
TD Bank,2023,May 2023,Outdoor,187508
TD Bank,2023,May 2023,Print,13060
TD Bank,2023,May 2023,Television,1242441
TD Bank,2023,November 2023,Digital,1140090
TD Bank,2023,November 2023,Outdoor,49510
TD Bank,2023,November 2023,Television,285866
TD Bank,2023,October 2023,Audio,30
TD Bank,2023,October 2023,Digital,815477
TD Bank,2023,October 2023,Outdoor,262297
TD Bank,2023,October 2023,Television,200237
TD Bank,2023,September 2023,Digital,846707
TD Bank,2023,September 2023,Outdoor,332700
TD Bank,2023,September 2023,Television,202242
TD Bank,2025,March 2025,Audio,0
TD Bank,2025,March 2025,Digital,2652738
TD Bank,2025,March 2025,Outdoor,22778
TD Bank,2025,March 2025,Television,479808
US Bank,2023,April 2023,Audio,65131
US Bank,2023,April 2023,Digital,744858
US Bank,2023,April 2023,Outdoor,148813
US Bank,2023,April 2023,Print,65555
US Bank,2023,April 2023,Television,3793743
US Bank,2023,August 2023,Audio,431665
US Bank,2023,August 2023,Digital,1209541
US Bank,2023,August 2023,Outdoor,944055
US Bank,2023,August 2023,Print,8375
US Bank,2023,August 2023,Television,6459019
US Bank,2023,December 2023,Audio,112011
US Bank,2023,December 2023,Digital,670894
US Bank,2023,December 2023,Outdoor,5625
US Bank,2023,December 2023,Print,83105
US Bank,2023,December 2023,Television,1566000
US Bank,2023,February 2023,Audio,53316
US Bank,2023,February 2023,Digital,156865
US Bank,2023,February 2023,Print,13060
US Bank,2023,February 2023,Television,50241
US Bank,2023,July 2023,Audio,44175
US Bank,2023,July 2023,Digital,2048930
US Bank,2023,July 2023,Outdoor,1399403
US Bank,2023,July 2023,Print,5250
US Bank,2023,July 2023,Television,5127242
US Bank,2023,June 2023,Audio,38331
US Bank,2023,June 2023,Digital,1033881
US Bank,2023,June 2023,Outdoor,1290646
US Bank,2023,June 2023,Print,5250
US Bank,2023,June 2023,Television,3659666
US Bank,2023,March 2023,Audio,38614
US Bank,2023,March 2023,Digital,184363
US Bank,2023,March 2023,Outdoor,5304
US Bank,2023,March 2023,Print,6010
US Bank,2023,March 2023,Television,1291
US Bank,2023,May 2023,Audio,59347
US Bank,2023,May 2023,Digital,1295757
US Bank,2023,May 2023,Outdoor,852485
US Bank,2023,May 2023,Print,6010
US Bank,2023,May 2023,Television,6782704
US Bank,2023,November 2023,Audio,83714
US Bank,2023,November 2023,Digital,482476
US Bank,2023,November 2023,Outdoor,5625
US Bank,2023,November 2023,Print,12171
US Bank,2023,November 2023,Television,1234805
